gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,difference
Eif2ak2,7.21E-13,1.685768218,0.462,0.076,1.83E-08,AMG4,0.386
Wwp1,9.88E-08,2.363675141,0.636,0.25,0.00251253,Macrophage,0.386
Tyms,6.74E-42,1.433445054,0.404,0.022,1.71E-37,AMG3,0.382
Mast2,6.77E-09,0.784715357,0.553,0.172,0.000172091,AMG3,0.381
Lockd,1.54E-88,1.604738386,0.383,0.002,3.93E-84,AMG3,0.381
Brca1,2.94E-80,1.53990004,0.383,0.003,7.48E-76,AMG3,0.38
Cep83,1.53E-10,0.885871317,0.532,0.152,3.89E-06,AMG3,0.38
Usp37,1.49E-10,1.086323194,0.553,0.174,3.78E-06,AMG3,0.379
Fkbp5,5.87E-06,0.66427402,0.787,0.408,0.149203359,AMG3,0.379
Rabgap1l,6.58E-06,1.214596976,0.636,0.257,0.167380589,Macrophage,0.379
Cenpe,4.77E-73,1.707613315,0.383,0.005,1.21E-68,AMG3,0.378
Fam111a,9.69E-11,0.7613104,0.511,0.134,2.46E-06,AMG3,0.377
Dock1,1.43E-05,1.188342706,0.636,0.259,0.364314405,Macrophage,0.377
Dtl,8.39E-62,1.470686948,0.383,0.009,2.13E-57,AMG3,0.374
Apobec3,3.90E-05,0.776794116,0.615,0.241,0.992537928,AMG4,0.374
Ckap5,3.60E-09,0.916755112,0.553,0.182,9.15E-05,AMG3,0.371
Hjurp,7.51E-18,1.331801819,0.447,0.076,1.91E-13,AMG3,0.371
Nsd3,2.80E-06,0.74347407,0.851,0.481,0.07110998,AMG3,0.37
Adar,2.49E-10,1.390357769,0.462,0.093,6.33E-06,AMG4,0.369
Reps2,7.41E-17,2.053041156,0.409,0.04,1.88E-12,Macrophage,0.369
Ulbp1,1.76E-46,1.149390946,0.383,0.016,4.46E-42,AMG3,0.367
Smchd1,1.06E-06,0.719737027,0.617,0.251,0.026969938,AMG3,0.366
Ifi203,1.25E-84,1.993884437,0.364,0.001,3.17E-80,Macrophage,0.363
Gm26917,4.98E-06,0.877109763,0.787,0.425,0.126506864,AMG3,0.362
Eps8,2.54E-14,2.020567509,0.409,0.047,6.47E-10,Macrophage,0.362
Rad54b,2.67E-83,1.284247499,0.362,0.002,6.78E-79,AMG3,0.36
Ifi204,6.67E-25,1.589702505,0.385,0.025,1.70E-20,AMG4,0.36
Dennd1a,1.99E-07,1.353081194,0.864,0.506,0.005058901,Macrophage,0.358
Wdr76,2.61E-17,1.283578392,0.426,0.071,6.64E-13,AMG3,0.355
Zfp280d,9.28E-06,0.677279332,0.638,0.286,0.235856022,AMG3,0.352
AU020206,3.52E-07,0.895424032,0.745,0.393,0.008947445,AMG3,0.352
Ddx60,9.18E-12,1.689857572,0.409,0.057,2.33E-07,Macrophage,0.352
Ubap2,6.54E-12,1.099396294,0.468,0.117,1.66E-07,AMG3,0.351
Lpxn,1.34E-05,1.350941477,0.545,0.195,0.34036144,Macrophage,0.35
Kif24,5.83E-28,1.154881946,0.383,0.033,1.48E-23,AMG3,0.35
Brip1os,8.72E-07,0.685385067,0.574,0.224,0.022168737,AMG3,0.35
Arhgap18,1.29E-07,1.405707264,0.455,0.106,0.003283752,Macrophage,0.349
Cntln,3.40E-16,1.247715875,0.426,0.077,8.64E-12,AMG3,0.349
Rfwd3,4.01E-15,1.102111729,0.426,0.078,1.02E-10,AMG3,0.348
Gab3,4.26E-11,1.535858469,0.409,0.061,1.08E-06,Macrophage,0.348
Slc16a4,6.11E-19,1.067046482,0.404,0.057,1.55E-14,AMG3,0.347
Ptpn1,0.000862992,0.403420943,0.809,0.464,1,AMG3,0.345
Cdk14,2.19E-08,0.99596802,0.83,0.487,0.000555875,AMG3,0.343
Gm42047,3.20E-37,1.96924065,0.362,0.02,8.12E-33,AMG3,0.342
Prr14l,0.000155541,0.468710499,0.66,0.32,1,AMG3,0.34
Nlrc5,6.47E-15,1.550018239,0.385,0.045,1.65E-10,AMG4,0.34
Crim1,7.86E-07,1.031100565,0.462,0.122,0.019974298,AMG4,0.34
Zranb3,8.37E-34,1.161538743,0.362,0.023,2.13E-29,AMG3,0.339
Rftn1,6.72E-10,1.569762084,0.409,0.07,1.71E-05,Macrophage,0.339
Kntc1,1.85E-21,1.126492111,0.383,0.045,4.69E-17,AMG3,0.338
Cep295,8.30E-11,0.833303296,0.447,0.109,2.11E-06,AMG3,0.338
Abr,3.09E-06,0.80038279,0.766,0.428,0.078645822,AMG3,0.338
Smc2,2.12E-33,1.297695493,0.362,0.024,5.40E-29,AMG3,0.338
B2m,0.001669639,0.609524828,0.615,0.277,1,AMG4,0.338
Kif23,1.60E-69,1.564464628,0.34,0.003,4.06E-65,AMG3,0.337
Map3k5,0.000149307,0.427397159,0.66,0.323,1,AMG3,0.337
Rin3,3.30E-05,0.638386525,0.617,0.28,0.839674105,AMG3,0.337
Snx8,1.66E-07,1.794105666,0.455,0.119,0.00421697,Macrophage,0.336
Luzp1,3.34E-05,0.94529666,0.538,0.203,0.84991519,AMG4,0.335
Magi3,5.14E-09,0.958869748,0.489,0.154,0.000130557,AMG3,0.335
Mctp1,2.31E-08,2.207847537,0.864,0.529,0.000586449,Macrophage,0.335
Vps13c,2.96E-05,1.350810323,0.682,0.348,0.753597241,Macrophage,0.334
Taf15,1.69E-05,0.748409469,0.745,0.412,0.430153041,AMG3,0.333
Casp8ap2,7.77E-15,1.051899918,0.404,0.072,1.97E-10,AMG3,0.332
Lrp6,6.66E-06,1.712942199,0.591,0.259,0.169184901,Macrophage,0.332
Knl1,2.16E-52,1.531704946,0.34,0.009,5.49E-48,AMG3,0.331
Psd3,1.86E-07,0.701680029,0.511,0.182,0.004733851,AMG3,0.329
Gpm6a,0.00014188,0.990019359,0.577,0.248,1,AMG4,0.329
Ms4a6c,8.41E-15,1.454588867,0.364,0.035,2.14E-10,Macrophage,0.329
Ap3b1,0.000321869,0.551024925,0.787,0.46,1,AMG3,0.327
Fndc3b,3.81E-05,0.5639347,0.723,0.397,0.969086502,AMG3,0.326
Lin52,3.43E-08,0.753109724,0.468,0.145,0.000872072,AMG3,0.323
Vrk1,5.96E-11,0.925846455,0.426,0.103,1.52E-06,AMG3,0.323
Ddx58,1.72E-10,1.168849884,0.385,0.062,4.37E-06,AMG4,0.323
Slf1,8.57E-09,0.822688185,0.447,0.126,0.000217828,AMG3,0.321
Apobec1,2.10E-05,1.534781902,0.591,0.27,0.533674059,Macrophage,0.321
Gapvd1,0.000238665,1.044708341,0.682,0.362,1,Macrophage,0.32
Sp3,0.00011164,0.394750306,0.553,0.235,1,AMG3,0.318
Cd163,1.78E-83,1.978624026,0.318,0,4.51E-79,Macrophage,0.318
Osbpl9,0.000260804,1.268555156,0.727,0.41,1,Macrophage,0.317
Myof,1.49E-64,1.652164616,0.318,0.002,3.80E-60,Macrophage,0.316
Topbp1,2.65E-14,1.115043711,0.383,0.068,6.75E-10,AMG3,0.315
Samsn1,0.000298539,0.443382053,0.638,0.323,1,AMG3,0.315
Prpf4b,8.63E-05,0.586008035,0.809,0.495,1,AMG3,0.314
Gna12,0.004395772,0.255983901,0.66,0.346,1,AMG3,0.314
Trio,0.00600092,0.337059547,0.787,0.473,1,AMG3,0.314
Adgre1,0.000141163,0.995090526,0.545,0.231,1,Macrophage,0.314
Rpa1,3.07E-18,1.08931054,0.362,0.048,7.80E-14,AMG3,0.314
Colec12,1.07E-48,2.318358166,0.318,0.004,2.73E-44,Macrophage,0.314
Gm47283,2.15E-07,0.990396431,0.83,0.516,0.005470422,AMG3,0.314
Irgm1,3.15E-16,1.207919416,0.346,0.032,8.00E-12,AMG4,0.314
Dse,1.72E-07,1.900613777,0.409,0.095,0.004379762,Macrophage,0.314
Cenph,6.84E-55,1.152344742,0.319,0.006,1.74E-50,AMG3,0.313
Cep112,1.18E-10,1.343729211,0.426,0.113,3.01E-06,AMG3,0.313
Arid2,0.000118988,0.582518273,0.638,0.325,1,AMG3,0.313
Mbd2,3.40E-07,0.826766569,0.489,0.177,0.008646176,AMG3,0.312
Map3k20,2.09E-17,1.108820279,0.362,0.051,5.30E-13,AMG3,0.311
Pde4d,0.000218919,1.174392346,0.818,0.508,1,Macrophage,0.31
Wdhd1,2.22E-24,1.041268667,0.34,0.031,5.64E-20,AMG3,0.309
Slc10a7,2.99E-06,0.694568136,0.489,0.181,0.076033362,AMG3,0.308
Ogt,0.000686543,0.814780792,0.682,0.375,1,Macrophage,0.307
Zfp934,2.16E-08,0.642665855,0.426,0.119,0.000549107,AMG3,0.307
C4b,4.84E-29,1.701301086,0.318,0.011,1.23E-24,Macrophage,0.307
Hdac9,5.73E-07,1.685535817,0.818,0.511,0.014566364,Macrophage,0.307
Neat1,3.01E-05,1.268198288,0.455,0.149,0.766457426,Macrophage,0.306
Rad18,4.22E-39,1.193741383,0.319,0.013,1.07E-34,AMG3,0.306
Alms1,2.03E-21,1.089698776,0.34,0.036,5.16E-17,AMG3,0.304
Smc6,6.21E-08,1.012467843,0.447,0.143,0.001579358,AMG3,0.304
Cbfb,1.89E-05,0.623109357,0.511,0.207,0.479963775,AMG3,0.304
Arsb,0.000156227,0.504564779,0.596,0.292,1,AMG3,0.304
Tnf,4.29E-13,1.367477471,0.346,0.042,1.09E-08,AMG4,0.304
Stat2,3.55E-08,1.335816324,0.385,0.081,0.000902304,AMG4,0.304
Pla2g4a,4.59E-05,0.676570087,0.702,0.398,1,AMG3,0.304
Tubb2a,4.41E-05,1.331862875,0.455,0.153,1,Macrophage,0.302
Sae1,1.71E-11,0.889514522,0.383,0.081,4.34E-07,AMG3,0.302
Pstpip2,4.71E-22,1.802492881,0.318,0.016,1.20E-17,Macrophage,0.302
Xpo1,1.47E-05,0.629287595,0.532,0.231,0.37491892,AMG3,0.301
Phip,0.000346781,0.901362103,0.654,0.353,1,AMG4,0.301
Rfc1,1.26E-08,0.912905546,0.426,0.125,0.000320433,AMG3,0.301
Depdc5,2.52E-05,0.459497365,0.489,0.188,0.639447211,AMG3,0.301
Usp18,6.76E-40,1.324529167,0.308,0.007,1.72E-35,AMG4,0.301
Wasl,9.84E-05,1.424237627,0.5,0.199,1,Macrophage,0.301
Phf20,0.002981549,0.300106556,0.617,0.318,1,AMG3,0.299
Rad50,6.40E-09,0.797672805,0.404,0.106,0.000162774,AMG3,0.298
Nsmce2,0.000109981,0.614172354,0.596,0.298,1,AMG3,0.298
Tra2b,0.000604768,0.674665649,0.723,0.425,1,AMG3,0.298
Lonrf3,5.46E-09,0.739795885,0.404,0.107,0.000138855,AMG3,0.297
Fgfr1op,8.10E-07,0.78156129,0.468,0.171,0.020602588,AMG3,0.297
Kif11,1.01E-71,1.243355854,0.298,0.001,2.56E-67,AMG3,0.297
Vps13b,1.35E-05,0.84119071,0.723,0.426,0.344093859,AMG3,0.297
Swt1,0.0014199,0.332642849,0.617,0.32,1,AMG3,0.297
Rtp4,7.75E-30,1.279732022,0.308,0.011,1.97E-25,AMG4,0.297
Rps6ka5,8.96E-08,0.985186915,0.447,0.152,0.002279041,AMG3,0.295
Kcmf1,0.002137474,0.669843778,0.577,0.282,1,AMG4,0.295
Rbms1,2.98E-05,0.642378942,0.532,0.238,0.757821077,AMG3,0.294
Gps2,1.28E-05,0.544626881,0.468,0.175,0.326074815,AMG3,0.293
H3f3a,2.23E-05,0.701151821,0.532,0.239,0.566396838,AMG3,0.293
Blm,1.13E-24,1.092543546,0.319,0.026,2.88E-20,AMG3,0.293
Ndufaf2,4.40E-07,0.592511173,0.426,0.133,0.011194949,AMG3,0.293
Sh3bgrl,6.30E-16,1.559558328,0.318,0.025,1.60E-11,Macrophage,0.293
Ccdc82,1.87E-10,0.970938491,0.383,0.092,4.76E-06,AMG3,0.291
Platr25,7.14E-12,0.897369977,0.362,0.071,1.82E-07,AMG3,0.291
Gas7,1.73E-07,1.667635387,0.364,0.073,0.00440599,Macrophage,0.291
Cyp27a1,4.48E-07,1.297240673,0.364,0.073,0.011377872,Macrophage,0.291
Stim1,6.30E-05,0.354894804,0.468,0.178,1,AMG3,0.29
Nedd4l,0.00032167,0.511074259,0.574,0.284,1,AMG3,0.29
Pds5a,0.00060734,0.525070708,0.638,0.349,1,AMG3,0.289
St6gal1,0.000570145,1.250271791,0.545,0.256,1,Macrophage,0.289
Efcab11,1.74E-43,1.579622139,0.298,0.009,4.42E-39,AMG3,0.289
Mfhas1,7.02E-05,0.622631475,0.574,0.285,1,AMG3,0.289
Atad2b,0.001317657,0.403040135,0.617,0.328,1,AMG3,0.289
Ddx60,1.01E-09,2.03357294,0.346,0.057,2.56E-05,AMG4,0.289
Hirip3,1.36E-21,0.954419059,0.319,0.031,3.47E-17,AMG3,0.288
Arhgef11,0.000172628,0.433401879,0.511,0.223,1,AMG3,0.288
Ralgapa2,2.46E-05,0.477760196,0.468,0.181,0.625772241,AMG3,0.287
Dennd1b,0.001986544,0.710179484,0.545,0.258,1,Macrophage,0.287
Dennd1a,0.001100748,0.458670452,0.787,0.501,1,AMG3,0.286
Kdm5c,0.000127412,0.875931419,0.462,0.176,1,AMG4,0.286
Fanca,1.16E-36,1.122274053,0.298,0.012,2.94E-32,AMG3,0.286
Tnks,0.00098032,0.341188967,0.532,0.248,1,AMG3,0.284
Sorbs2,0.001976382,0.552041756,0.5,0.216,1,AMG4,0.284
Brca2,1.59E-33,0.910829171,0.298,0.014,4.04E-29,AMG3,0.284
Ptbp3,0.000648061,0.633419335,0.745,0.461,1,AMG3,0.284
Etnk1,0.001380913,1.035755492,0.615,0.331,1,AMG4,0.284
Ust,1.32E-05,0.593877007,0.468,0.185,0.335563318,AMG3,0.283
Gm15283,0.000568957,0.936129417,0.5,0.217,1,AMG4,0.283
Gcnt2,4.48E-05,0.808394974,0.553,0.271,1,AMG3,0.282
Lcp2,0.003804562,0.667617348,0.654,0.372,1,AMG4,0.282
Il10rb,0.000338593,1.021603126,0.455,0.173,1,Macrophage,0.282
Slk,0.000403871,0.871616304,0.455,0.173,1,Macrophage,0.282
Cep57l1,5.20E-13,0.836286249,0.34,0.059,1.32E-08,AMG3,0.281
Mat2a,0.00110047,0.376247246,0.553,0.272,1,AMG3,0.281
Hdac9,0.006609656,0.544696491,0.787,0.506,1,AMG3,0.281
Lgals9,0.001613155,0.654194072,0.5,0.22,1,AMG4,0.28
Mbd2,0.000220813,0.922001276,0.462,0.183,1,AMG4,0.279
Tmem181a,3.03E-08,0.734704332,0.383,0.105,0.000771007,AMG3,0.278
Nfic,1.08E-05,0.645249617,0.447,0.169,0.274358262,AMG3,0.278
Rpl15,0.000127999,1.194115109,0.455,0.177,1,Macrophage,0.278
BC052040,7.05E-10,0.856682174,0.362,0.084,1.79E-05,AMG3,0.278
Etv1,9.95E-05,1.001976585,0.409,0.131,1,Macrophage,0.278
Myo5a,1.83E-05,0.523929304,0.447,0.17,0.465863275,AMG3,0.277
Dock1,0.000303987,0.560790745,0.532,0.255,1,AMG3,0.277
4930479D17Rik,0.000219325,0.729408114,0.423,0.146,1,AMG4,0.277
Neil3,2.23E-66,1.230480369,0.277,0.001,5.66E-62,AMG3,0.276
Ctdspl2,3.48E-05,0.639758648,0.468,0.192,0.885375928,AMG3,0.276
Hnrnpu,0.003473162,0.389185929,0.617,0.342,1,AMG3,0.275
Tpx2,5.76E-54,1.087501545,0.277,0.003,1.47E-49,AMG3,0.274
Rad51ap1,8.25E-54,0.942618737,0.277,0.003,2.10E-49,AMG3,0.274
Hipk3,1.53E-05,0.608045667,0.447,0.173,0.389689223,AMG3,0.274
Map2k5,0.001636628,0.352685499,0.532,0.258,1,AMG3,0.274
Cdkal1,0.005460242,0.426428553,0.638,0.364,1,AMG3,0.274
Kcnh7,0.001948505,0.759090073,0.5,0.226,1,AMG4,0.274
Slc16a10,3.28E-05,0.779926967,0.447,0.174,0.834290966,AMG3,0.273
Zc3hav1,0.000270235,0.815593585,0.423,0.15,1,AMG4,0.273
Gm49144,9.28E-72,1.998807423,0.273,0,2.36E-67,Macrophage,0.273
4933406I18Rik,4.87E-15,0.476355499,0.825,0.552,1.24E-10,AMG1,0.273
Tent5c,1.96E-05,0.600134749,0.447,0.175,0.497392655,AMG3,0.272
Slf2,0.000800896,0.345599916,0.511,0.239,1,AMG3,0.272
Pbrm1,0.001005157,0.444619849,0.553,0.281,1,AMG3,0.272
Cbr2,1.90E-61,1.520720539,0.273,0.001,4.84E-57,Macrophage,0.272
Plekhg5,2.91E-09,1.706964613,0.318,0.046,7.39E-05,Macrophage,0.272
Rbbp8,6.75E-09,0.763192313,0.362,0.091,0.000171621,AMG3,0.271
Hnrnpdl,0.000739541,0.412345367,0.511,0.24,1,AMG3,0.271
Cd36,6.90E-54,1.422299144,0.273,0.002,1.75E-49,Macrophage,0.271
Tfdp1,1.04E-10,0.828722976,0.34,0.07,2.63E-06,AMG3,0.27
Adk,1.86E-08,0.663113224,0.362,0.092,0.000472737,AMG3,0.27
Spata5,0.000261556,0.530036403,0.511,0.241,1,AMG3,0.27
Luc7l3,0.006748752,0.585912255,0.615,0.345,1,AMG4,0.27
Stard8,4.57E-06,1.441364031,0.364,0.094,0.116061335,Macrophage,0.27
E2f1,3.71E-41,1.368855623,0.277,0.008,9.43E-37,AMG3,0.269
Ola1,0.000215611,0.897957451,0.423,0.154,1,AMG4,0.269
Rif1,2.47E-07,1.012782314,0.404,0.136,0.006288666,AMG3,0.268
Hira,1.41E-05,0.612165636,0.426,0.158,0.358776882,AMG3,0.268
Elf2,0.00029908,0.60596954,0.532,0.264,1,AMG3,0.268
Phip,0.002406944,0.462415838,0.617,0.349,1,AMG3,0.268
Ndfip1,0.001442612,0.91330003,0.682,0.415,1,Macrophage,0.267
Eldr,1.90E-35,1.055302784,0.277,0.01,4.84E-31,AMG3,0.267
Phka2,4.15E-06,0.571343733,0.404,0.137,0.105479444,AMG3,0.267
Ptpn12,9.07E-05,0.402150629,0.447,0.18,1,AMG3,0.267
Ywhae,0.003840079,0.413373141,0.617,0.35,1,AMG3,0.267
Rps6kc1,0.00175729,0.601997845,0.462,0.195,1,AMG4,0.267
Zranb2,0.003395073,0.736963378,0.636,0.369,1,Macrophage,0.267
Akt3,0.000168729,0.805226058,0.532,0.266,1,AMG3,0.266
Gm16599,0.004198432,0.612353554,0.769,0.503,1,AMG4,0.266
Selenop,0.00090069,1.18785179,0.455,0.189,1,Macrophage,0.266
Smc3,1.49E-06,0.5531618,0.383,0.118,0.03797946,AMG3,0.265
Morrbid,2.11E-06,0.800892924,0.404,0.139,0.05370413,AMG3,0.265
Vkorc1l1,5.62E-06,0.559748965,0.404,0.139,0.142927108,AMG3,0.265
Hnrnpr,0.000829385,0.407480453,0.489,0.224,1,AMG3,0.265
Aph1c,1.66E-28,1.429161204,0.273,0.008,4.23E-24,Macrophage,0.265
Cspp1,0.000542132,0.546397514,0.553,0.289,1,AMG3,0.264
Pkig,0.005213389,0.303861167,0.553,0.289,1,AMG3,0.264
Srsf10,4.13E-05,0.489960586,0.426,0.162,1,AMG3,0.264
Pard3b,0.004046588,0.439679139,0.617,0.353,1,AMG3,0.264
Ifit2,8.66E-38,1.268465736,0.269,0.005,2.20E-33,AMG4,0.264
St8sia4,9.28E-08,1.275446241,0.318,0.054,0.002360369,Macrophage,0.264
Casp8,0.001489535,0.354972873,0.511,0.248,1,AMG3,0.263
Zfp160,0.000336433,1.118530628,0.409,0.146,1,Macrophage,0.263
Sfmbt1,0.000139383,0.691791724,0.596,0.333,1,AMG3,0.263
Plin2,7.15E-06,0.633252692,0.404,0.142,0.181772793,AMG3,0.262
Brd8,5.73E-05,0.478885245,0.426,0.164,1,AMG3,0.262
Tpk1,2.94E-05,1.24748801,0.364,0.102,0.747796905,Macrophage,0.262
Atxn3,3.75E-05,1.278829934,0.364,0.102,0.95425251,Macrophage,0.262
Abi2,1.84E-05,0.486727021,0.404,0.143,0.466649068,AMG3,0.261
Fbrsl1,0.003049097,0.76292898,0.5,0.239,1,AMG4,0.261
Zgrf1,2.53E-27,1.100400043,0.277,0.017,6.42E-23,AMG3,0.26
Zfp808,2.47E-11,0.827985803,0.319,0.059,6.27E-07,AMG3,0.26
Pdpk1,0.000432003,0.414859274,0.468,0.208,1,AMG3,0.26
Elf1,0.005917324,0.56489109,0.538,0.278,1,AMG4,0.26
Plekhm2,0.007346638,0.443813692,0.5,0.24,1,AMG4,0.26
Pde7a,3.60E-07,0.664744992,0.362,0.103,0.009146542,AMG3,0.259
Mapkapk3,8.81E-06,0.910699112,0.346,0.087,0.224010714,AMG4,0.259
Fcgr1,0.000260817,0.821672023,0.385,0.126,1,AMG4,0.259
